num_projeto	data_apresentacao	autor	localizacao_atual	status	data_ultima_tram	ultima_acao	projeto
PLC 76/2020 - Projeto de Lei Complementar	11 De Agosto De 2020 	Ministério Público - Procuradoria De Justiça	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	17 De Dezembro De 2020	Proposição Convertida Em Lei Complementar Nº 1 075 De 16 De Dezembro De 2020 Publicada No D O E Nº 245 De 16 De Dezembro De 2020	PLC
PLC 75/2020 - Projeto de Lei Complementar	7 De Julho De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	12 De Outubro De 2020	Proposição Convertida Em Lei Complementar Nº 1 069 De 8 De Outubro De 2020 Publicada No D O E Nº 09 10 2020	PLC
PLC 74/2020 - Projeto de Lei Complementar	7 De Julho De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	12 De Outubro De 2020	Proposição Convertida Em Lei Complementar Nº 1 068 De 8 De Outubro De 2020 Publicada No D O E Nº 09 10 2020	PLC
PLC 73/2020 - Projeto de Lei Complementar	7 De Julho De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	12 De Outubro De 2020	Proposição Convertida Em Lei Complementar Nº 1 067 De 8 De Outubro De 2020 Publicada No D O E Nº 09 10 2020	PLC
PLC 72/2020 - Projeto de Lei Complementar	7 De Julho De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	27 De Agosto De 2020	Proposição Convertida Em Lei Complementar Nº 1 064 De 21 De Agosto De 2020 Publicada No D O E Nº 163 De 21 De Agosto De 2020	PLC
PLC 71/2020 - Projeto de Lei Complementar	7 De Julho De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Retirada Pelo Autor	8 De Julho De 2020	Proposição Retirada Pelo Autor Por Meio Da Mensagem Nº 149 De 03 De Julho De 2020	PLC
PLC 70/2020 - Projeto de Lei Complementar	26 De Maio De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	8 De Junho De 2020	Proposição Convertida Em Lei Complementar Nº 1 062 De 04/06/2020 - Publicada No D O Nº 106 Em 04/06/2020 Fim Do Processo	PLC
PLC 69/2020 - Projeto de Lei Complementar	26 De Maio De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	29 De Maio De 2020	Proposição Convertida Em Lei Complementar Nº 1 061 De 27/05/2020 - Publicada No D O Nº 100 Em 27/05/2020 Fim Do Processo	PLC
PLC 68/2020 - Projeto de Lei Complementar	26 De Maio De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	17 De Dezembro De 2020	Proposição Convertida Em Lei Complementar Nº 1 076 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLC
PLC 67/2020 - Projeto de Lei Complementar	21 De Maio De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	25 De Maio De 2020	Proposição Convertida Em Lei Complementar Nº 1 060 De 21/05/2020 - Publicada No D O Nº 099 Em 26/05/2020 Fim Do Processo	PLC
PLC 66/2020 - Projeto de Lei Complementar	31 De Março De 2020 	Jhony Paixão	Arquivo - Dl - Arq-Dl	Parecer Da Ccjr Ou Da Cfo Pelo Arquivamento Da Proposição	3 De Fevereiro De 2021	Ao Arquivo Conforme Artigo 28-A, Inciso I Do Regimento Interno	PLC
PLC 65/2020 - Projeto de Lei Complementar	31 De Março De 2020 	Tribunal De Justiça - Presidente	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	11 De Dezembro De 2020	Proposição Convertida Em Lei Complementar Nº 1 073 De 08 De Dezembro De 2020 Publicada No D O E Nº 239 De 08 De Dezembro De 2020	PLC
PLC 64/2020 - Projeto de Lei Complementar	10 De Março De 2020 	Mesa Diretora - Presidente	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	16 De Abril De 2020	Proposição Convertida Em Lei Complementar Nº 1 058 De 14/04/2020 - Publicada No D O Ale Nº 065 Em 14/04/2020 Fim Do Processo	PLC
PLC 63/2020 - Projeto de Lei Complementar	4 De Março De 2020 	Ministério Público - Procuradoria De Justiça	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	14 De Maio De 2020	Proposição Convertida Em Lei Complementar Nº 1 059 De 12/05/2020 - Publicada No D O Nº 089 Em 13/05/2020 Fim Do Processo	PLC
PLC 62/2020 - Projeto de Lei Complementar	18 De Fevereiro De 2020 	Mesa Diretora - Presidente	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	28 De Fevereiro De 2020	Proposição Convertida Em Lei Complementar Nº 1 056 De 28/02/2020 - Publicada No D O E Nº 038 Em 28/08/2020 Fim Do Processo Documentos Acessórios: 2	PLC
PLC 61/2020 - Projeto de Lei Complementar	19 De Fevereiro De 2020 	Poder Executivo - Executivo	Departamento Legislativo - Dl	Proposição Retirada Pelo Autor	6 De Março De 2020	Retirada Pelo Autor Conforme Mensagem N 09, De 04/02/2020 Documentos Acessórios: 1	PLC
PLC 60/2020 - Projeto de Lei Complementar	19 De Fevereiro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Rejeitada Pelo Plenário	16 De Julho De 2020	Proposição Rejeitada Pelo Plenário Na Sessão Ordinária Do Dia 14 07 2020 Vai Ao Arquivo	PLC
PLC 59/2020 - Projeto de Lei Complementar	19 De Fevereiro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	8 De Abril De 2020	Proposição Convertida Em Lei Complementar Nº 1 057 De 06 04 2020 - Publicada No D O Nº 66 Em 07 04 2020 Fim Do Processo Documentos Acessórios: 2	PLC
PLO 9411/2020 - Projeto de Lei Ordinária	4 De Março De 2020 	Jair Montes	Arquivo - Dl - Arq-Dl	Parecer Da Ccjr Ou Da Cfo Pelo Arquivamento Da Proposição	7 De Abril De 2020	Para Arquivamento Conforme Artigo 28-A, Inciso I Do Regimento Interno Desta Casa De Leis	PLO
PLO 926/2020 - Projeto de Lei Ordinária	16 De Dezembro De 2020 	Anderson Pereira	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	13 De Janeiro De 2021	À Comissão Para Emitir Parecer	PLO
PLO 925/2020 - Projeto de Lei Ordinária	16 De Dezembro De 2020 	Anderson Pereira	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	13 De Janeiro De 2021	À Comissão Para Emitir Parecer	PLO
PLO 924/2020 - Projeto de Lei Ordinária	16 De Dezembro De 2020 	Anderson Pereira	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	13 De Janeiro De 2021	À Comissão Para Emitir Parecer	PLO
PLO 923/2020 - Projeto de Lei Ordinária	16 De Dezembro De 2020 	Anderson Pereira	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	13 De Janeiro De 2021	À Comissão Para Emitir Parecer	PLO
PLO 922/2020 - Projeto de Lei Ordinária	16 De Dezembro De 2020 	Anderson Pereira	Ccjr - Comissão De Constituição E Justiça E De Redação	Proposição Distribuída Às Comissões	13 De Janeiro De 2021	À Comissão Para Emitir Parecer	PLO
PLO 921/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	23 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 935 De 22 De Dezembro De 2020 Publicada No D O E Nº 250 De 23 De Dezembro De 2020	PLO
PLO 920/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	23 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 931 De 22 De Dezembro De 2020 Publicada No D O E Nº 250 De 23 De Dezembro De 2020	PLO
PLO 919/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	23 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 932 De 22 De Dezembro De 2020 Publicada No D O E Nº 250 De 23 De Dezembro De 2020	PLO
PLO 918/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	21 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 920 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLO
PLO 917/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	21 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 921 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLO
PLO 916/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	23 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 933 De 22 De Dezembro De 2020 Publicada No D O E Nº 250 De 23 De Dezembro De 2020 Norma Jurídica Vinculada: Lei Ordinária Nº 4 933, De 23 De Dezembro De 2020 	PLO
PLO 915/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	21 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 923 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLO
PLO 914/2020 - Projeto de Lei Ordinária	15 De Dezembro De 2020 	Poder Executivo - Executivo	Arquivo - Dl - Arq-Dl	Proposição Transformada Em Lei	21 De Dezembro De 2020	Proposição Convertida Em Lei Ordinária Nº 4 922 De 17 De Dezembro De 2020 Publicada No D O E Nº 246 De 17 De Dezembro De 2020	PLO
