"num_projeto";"data_apresentacao";"autor";"localizacao_atual";"status";"data_ultima_tram";"ultima_acao";"projeto";"data"
"PLO 91/2019 - Projeto de Lei Ordinária";"30 De Abril De 2019 ";"Jhony Paixão";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei Por Promulgação";"27 De Setembro De 2019";"Proposição Convertida Em Lei Nº 4 592 De 19/09/2019 (Por Promulgação) - Publicada No D O E Nº 181 Em 26/09/2019 Fim Do Processo Documentos Acessórios: 4";"PLO";2019-04-30
"PLO 90/2019 - Projeto de Lei Ordinária";"30 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"15 De Maio De 2019";"Proposição Convertida Em Lei Nº 4 487 De 15/05/2019 - Publicada No D O E Nº 089 Em 16/05/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-04-30
"PLO 89/2019 - Projeto de Lei Ordinária";"30 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"29 De Maio De 2019";"Proposição Convertida Em Lei Nº 4 500 De 29/05/2019 - Publicado No D O E Nº 097 Em 29/05/2019 Fim Do Processo Documentos Acessórios: 3";"PLO";2019-04-30
"PLO 88/2019 - Projeto de Lei Ordinária";"30 De Abril De 2019 ";" Plo 88/2019 - Projeto De Lei Ordinária Ementa: Autoriza O Poder Executivo A Abrir Crédito Suplementar Por Superávit Financeiro, Até O Valor De R$ 4 498 769,39, Em Favor Da Unidade Orçamentária: Secretaria De Estado De Segurança, Defesa E Cidadania - Sesdec Apresentação: 30 De Abril De 2019 Localização Atual: Arquivo - Dl - Arq-Dl Status: Proposição Transformada Em Lei Data Fim Prazo (Tramitação): Data Da Última Tramitação: 29 De Maio De 2019 Ultima Ação: Proposição Convertida Em Lei Nº 4 497 De 29/005/2019 - Publicado No D O E Nº 097 Em 29/05/2019 Fim Do Processo Documentos Acessórios: 2 Texto Original Norma Jurídica Vinculada: Lei Ordinária Nº 4 497, De 29 De Maio De 2019";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"29 De Maio De 2019";"Proposição Convertida Em Lei Nº 4 497 De 29/005/2019 - Publicado No D O E Nº 097 Em 29/05/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-04-30
"PLO 87/2019 - Projeto de Lei Ordinária";"30 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"4 De Junho De 2019";"Proposição Convertida Em Lei Nº 4 506 De 04/06/2019 - Publicada No D O E Nº 102 Em 05/06/2019 Fim Do Processo Documentos Acessórios: 4";"PLO";2019-04-30
"PLO 86/2019 - Projeto de Lei Ordinária";"30 De Abril De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Proposição Retirada Pelo Autor";"23 De Agosto De 2019";"Proposição Retirada Pelo Autor Por Meio Da Mensagem Nº 168 Documentos Acessórios: 1";"PLO";2019-04-30
"PLO 85/2019 - Projeto de Lei Ordinária";"23 De Abril De 2019 ";"Alex Silva";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"24 De Outubro De 2019";"Proposição Convertida Em Lei Nº 4 618 De 21/10/2019 - Publicado No D O E Nº 198 Em 22/10/2019 Fim Do Processo Documentos Acessórios: 2";"PLO";2019-04-23
"PLO 84/2019 - Projeto de Lei Ordinária";"23 De Abril De 2019 ";"Jhony Paixão";"Arquivo - Dl - Arq-Dl";"Veto Sobre A Proposição Mantido";"9 De Dezembro De 2019";"Veto Total Mantido Em 03/12/2019 Vai Ao Arquivo Documentos Acessórios: 7";"PLO";2019-04-23
"PLO 83/2019 - Projeto de Lei Ordinária";"23 De Abril De 2019 ";"Adailton Fúria";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei Por Promulgação";"27 De Setembro De 2019";"Proposição Convertida Em Lei Nº 4 598 De 19/09/2019 (Por Promulgação) - Publicada No D O E Nº 181 Em 26/09/2019 Fim Do Processo Documentos Acessórios: 5 Norma Jurídica Vinculada: Lei Ordinária Nº 4 598, De 19 De Setembro De 2019 ";"PLO";2019-04-23
"PLO 82/2019 - Projeto de Lei Ordinária";"23 De Abril De 2019 ";"Jhony Paixão";"Arquivo - Dl - Arq-Dl";"Proposição Transformada Em Lei";"24 De Julho De 2019";"Proposição Convertida Em Lei Nº 4 541, De 23/07/2019, Publicada No D O E Nº 234, De 23/07/2019 - Fim Do Processo Documentos Acessórios: 3";"PLO";2019-04-23
