"";"num_projeto";"data_apresentacao";"autor";"localizacao_atual";"ementas";"status";"data_ultima_tram";"ultima_acao"
"995";"VP 20/2020 - Veto Parcial";"25 De Agosto De 2020 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Veto Parcial ao Projeto de Lei nº 735/2020 de autoria do Deputado Marcelo Cruz que “Proíbe o consumo e venda de bebidas alcoólicas durante a pandemia no complexo Espaço Alternativo, no município de Porto Velho”.";"Veto Sobre A Proposição Mantido";"1 De Outubro De 2020";"Veto Parcial Mantido Proposição Convertida Em Lei Nº 4 840 De 24 De Agosto De 2020 Publicada No D O E Nº 165 De 25 De Agosto De 2020"
"996";"VP 19/2020 - Veto Parcial";"21 De Julho De 2020 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Veto Parcial ao Projeto de Lei Complementar nº 046/2020 de autoria do Deputado Adelino FolLador que “Altera e acrescenta dispositivos na Lei Complementar n° 622, de 11 de julho de 2011”.";"Veto Sobre A Proposição Mantido";"26 De Agosto De 2020";"Veto Mantido Na Sessão Do Dia 25 08 2020 Proposição Transformada Na Lei Complementar Nº 1 063 De 20 07 2020 Publicado No D O E Nº 139 De 20 07 2020"
"997";"VP 18/2020 - Veto Parcial";"26 De Maio De 2020 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Veto Parcial ao Projeto de Lei nº 454/2020 de autoria do Deputado Adelino Follador que “Determina o atendimento prioritário aos portadores de doenças raras na rede de saúde pública e privada do Estado de Rondônia e dá outras providências”.";"Veto Sobre A Proposição Mantido";"1 De Julho De 2020";"Veto Parcial Mantido Proposição Transformada Em Lei Ordinária Nº 4 768 De 20 De Maio De 2020 Publicada No D O E Nº 96 Em 21/05/2020"
"998";"VP 17/2020 - Veto Parcial";"19 De Fevereiro De 2020 ";"Poder Executivo - Executivo";"Departamento Legislativo - Dl";"Veto Parcial ao Projeto de Lei nº 322/19 de autoria do Poder Executivo que “Estima a receita e fixa a despesa do Estado de Rondônia para o exercício financeiro de 2020”.";"Veto Sobre A Proposição Mantido";"31 De Março De 2020";"Veto Mantido Na Sessão Ordinária Do Dia 31 03 20 Ao Dl Para Providências"
"999";"VP 64/2019 - Veto Parcial";"22 De Janeiro De 2019 ";"Não informado";"Departamento Legislativo - Dl";"Veto Parcial ao Projeto de Lei nº 1070/18, de autoria do Poder Executivo que ""Estima a receita e fixa a despesa do Estado de Rondônia para o exercício de 2019"".";"Veto Sobre A Proposição Rejeitado";"22 De Janeiro De 2019";"Veto Rejeitado Na Sessão Ordinária No Dia 22/12/2018 Ao Dl, Para Providências"
"1000";"VP 16/2019 - Veto Parcial";"10 De Dezembro De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Veto Parcial ao Projeto de Lei nº 144/19 de autoria do Deputado Eyder Brasil que “Dispõe sobre a produção e comercialização de queijos artesanais de leite cru e adota outras providências.”.";"Veto Sobre A Proposição Mantido";"16 De Março De 2020";"Veto Parcial Mantido Proposição Convertida Em Lei Nº 4 671 De 06/12/2019 - Publicada No D O E Nº 229 Em 06/12/2019 Fim Do Processo"
"1001";"VP 15/2019 - Veto Parcial";"10 De Dezembro De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Veto Parcial ao Projeto de Lei nº 285/19 de autoria do Deputado Laerte Gomes que “Dispõe sobre procedimentos ambientais simplificados para implantação e operação de empreendimentos e/ou atividades de porte micro com potencial poluidor degradador baixo”.";"Veto Sobre A Proposição Mantido";"16 De Março De 2020";"Veto Parcial Mantido Proposição Convertida Em Lei Nº 4 670 De 06/12/2019 - Publicada No D O E Nº 229 Em 06/12/2019 Fim Do Processo"
"1002";"VP 14/2019 - Veto Parcial";"10 De Dezembro De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Veto Parcial ao Projeto de Lei nº 105/19 de autoria do Deputado Eyder Brasil que “Declara como Patrimônio Cultural de Natureza Imaterial do Estado de Rondônia, a Associação Cultural Bloco Carnavalesco Banda do Vai Quem Quer - ACBVQQ e dá outras providências”.";"Veto Sobre A Proposição Mantido";"16 De Março De 2020";"Veto Parcial Mantido Proposição Convertida Em Lei Nº 4 676 De 06/12/2019 - Publicada No D O E Nº 229 Em 06/12/2019 Fim Do Processo"
"1003";"VP 13/2019 - Veto Parcial";"10 De Dezembro De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Veto Parcial ao Projeto de Lei nº 260/19 de autoria do Deputado Laerte Gomes que “Dispõe sobre a instituição dos preceitos e fundamentos dos Cuidados Paliativos no Estado de Rondônia”.";"Veto Sobre A Proposição Mantido";"16 De Março De 2020";"Veto Parcial Mantido Proposição Convertida Em Lei Nº 4 669 De 06/12/2019 - Publicada No D O E Nº 229 Em 06/12/2019 Fim Do Processo"
"1004";"VP 12/2019 - Veto Parcial";"10 De Dezembro De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Veto Parcial ao Projeto de Lei Complementar nº 045/19 de autoria do Deputado Lebrão que “Transforma em Estância Turística o Município de Porto Velho, capital do Estado de Rondônia”.";"Veto Sobre A Proposição Mantido";"16 De Março De 2020";"Veto Parcial Mantido Proposição Convertida Em Lei Complementar Nº 1 049 De 06/12/2019 - Publicada No D O E Nº 229 Em 06/12/2019 Fim Do Processo"
"1005";"VP 11/2019 - Veto Parcial";"3 De Dezembro De 2019 ";"Poder Executivo - Executivo";"Departamento Legislativo - Dl";"Veto Parcial ao Projeto de Lei nº 254/2019 de autoria do Poder Executivo que ""Dá nova redação aos artigos 4° e 7° da Lei n° 3.945, de 12 de dezembro de 2016, que 'Dispõe sobre o Conselho Estadual de Política Ambiental e dá outras providências"".";"Veto Sobre A Proposição Rejeitado";"10 De Março De 2020";"Veto Rejeitado Na Sessão Ordinária Do Dia 10 03 20 Ao Dl Para Providências"
"1006";"VP 10/2019 - Veto Parcial";"3 De Dezembro De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Veto Parcial ao Projeto de Lei Complementar nº 028/2019 de autoria do Deputado Lebrão que “Transforma em Estância Turística o Município de Costa Marques do Estado de Rondônia"".";"Transformada Em Lei Com Veto Parcial";"9 De Dezembro De 2019";"Veto Parcial Mantido Proposição Convertida Em Lei Complementar Nº 1 046 De 20/11/2019 - Publicada No D O E Nº 217 Em 20/11/2019 Fim Do Processo"
"1007";"VP 9/2019 - Veto Parcial";"19 De Novembro De 2019 ";"Poder Executivo - Executivo";"Departamento Legislativo - Dl";"Veto Parcial ao Projeto de Lei nº 215/19 de autoria do Deputado Anderson Pereira que “Garante aos alunos das instituições públicas e privadas de ensino do Estado de Rondônia o acesso à água potável e filtrada e dá outras providências”.";"Veto Sobre A Proposição Rejeitado";"3 De Dezembro De 2019";"Proposição Rejeitado Na Sessão Ordinária Do Dia 03 12 19 Ao Dl Para Providências"
"1008";"VP 8/2019 - Veto Parcial";"19 De Novembro De 2019 ";"Poder Executivo - Executivo";"Arquivo - Dl - Arq-Dl";"Veto Parcial ao Projeto de Lei nº 243/19 de autoria do Poder Executivo que “Dispõe sobre o Plano Plurianual do Estado de Rondônia, para o período de 2020-2023, nos termos do caput do artigo 134 da Constituição do Estado.";"Veto Sobre A Proposição Mantido";"10 De Dezembro De 2019";"Veto Parcial Mantido Em 03/12/2019 - Lei Nº 4647, De 18/11/2019 D O E Nº 215, De 18/11/19 - Fim Do Processo"
